geography,company_region
Australia,APAC
Austria,EMEA
Belgium,EMEA
Brazil,AMER
Canada,AMER
Chile,AMER
China,APAC
Colombia,AMER
Czechia,EMEA
Denmark,EMEA
European Union,EMEA
Finland,EMEA
France,EMEA
Germany,EMEA
Greece,EMEA
Hong Kong,APAC
Hungary,EMEA
India,APAC
Indonesia,APAC
Ireland,EMEA
Israel,EMEA
Italy,EMEA
Japan,APAC
Kuwait,EMEA
Malaysia,APAC
Mexico,AMER
Netherlands,EMEA
New Zealand,APAC
Nigeria,EMEA
Norway,EMEA
Philippines,APAC
Poland,EMEA
Portugal,EMEA
Qatar,EMEA
Romania,EMEA
Russia,EMEA
Saudi Arabia,EMEA
Singapore,APAC
South Africa,EMEA
South Korea,APAC
Spain,EMEA
Sweden,EMEA
Switzerland,EMEA
Taiwan,APAC
Thailand,APAC
Turkey,EMEA
United Arab Emirates,EMEA
United Kingdom,EMEA
United States of America,AMER
